               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.049519,            0.010509,           0.0057755,             0.63772,             0.88889,             0.88749,             0.48141,            0.042738,           0.0083063,           0.0046457,            0.006535,            0.006535,            0.006535
                  72,            0.045479,            0.012881,           0.0056521,             0.63772,             0.88889,             0.88749,             0.48141,            0.042738,           0.0083063,           0.0046457,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045287,            0.013405,           0.0059095,             0.98214,                   1,               0.995,             0.53369,            0.035794,           0.0083284,           0.0046557,            0.006436,            0.006436,            0.006436
                  74,             0.04581,            0.011995,           0.0054541,             0.52145,                   1,             0.58783,             0.28469,            0.057063,           0.0078948,           0.0043703,           0.0063865,           0.0063865,           0.0063865
                  75,            0.060333,            0.010714,           0.0059584,             0.77901,             0.97002,             0.91588,             0.56851,            0.045519,           0.0076466,           0.0043868,            0.006337,            0.006337,            0.006337
                  76,            0.049071,            0.012274,           0.0059927,             0.77901,             0.97002,             0.91588,             0.56851,            0.045519,           0.0076466,           0.0043868,           0.0062875,           0.0062875,           0.0062875
                  77,            0.045265,            0.011452,           0.0055852,             0.75173,             0.94444,             0.93686,             0.50892,            0.038712,           0.0077718,           0.0042759,            0.006238,            0.006238,            0.006238
                  78,            0.044075,            0.011114,           0.0053786,              0.5422,             0.94444,             0.81481,             0.50168,            0.051552,           0.0074368,           0.0042962,           0.0061885,           0.0061885,           0.0061885
                  79,              0.0534,           0.0099364,           0.0054575,             0.63908,             0.94444,             0.96115,             0.47541,            0.042028,             0.00755,           0.0042687,            0.006139,            0.006139,            0.006139
                  80,             0.04489,            0.011273,           0.0053181,             0.63908,             0.94444,             0.96115,             0.47541,            0.042028,             0.00755,           0.0042687,           0.0060895,           0.0060895,           0.0060895
                  81,            0.040691,            0.012811,           0.0064145,             0.85898,             0.97716,               0.995,             0.60897,            0.034148,           0.0076209,           0.0042335,             0.00604,             0.00604,             0.00604
                  82,            0.043564,            0.010178,           0.0054627,             0.33914,                   1,             0.49606,             0.24515,            0.054976,           0.0074839,           0.0043442,           0.0059905,           0.0059905,           0.0059905
                  83,            0.059734,            0.010866,           0.0056515,             0.71544,             0.94444,             0.81415,             0.35121,            0.042231,           0.0075494,           0.0044389,            0.005941,            0.005941,            0.005941
                  84,            0.047044,             0.01165,           0.0050375,             0.71544,             0.94444,             0.81415,             0.35121,            0.042231,           0.0075494,           0.0044389,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045661,            0.013655,            0.005671,             0.79415,             0.96582,               0.995,             0.71531,            0.041595,           0.0073171,           0.0044702,            0.005842,            0.005842,            0.005842
                  86,            0.041841,            0.011784,            0.006197,              0.9135,                   1,              0.9565,             0.58253,            0.034029,           0.0076655,           0.0045253,           0.0057925,           0.0057925,           0.0057925
                  87,            0.041531,            0.011772,           0.0052701,             0.72291,                   1,               0.902,             0.51173,            0.043665,           0.0073725,           0.0045247,            0.005743,            0.005743,            0.005743
                  88,            0.045007,           0.0098627,           0.0053901,             0.72291,                   1,               0.902,             0.51173,            0.043665,           0.0073725,           0.0045247,           0.0056935,           0.0056935,           0.0056935
                  89,            0.040551,            0.010374,           0.0060356,             0.89561,                   1,               0.984,              0.5661,            0.031414,           0.0076297,           0.0045168,            0.005644,            0.005644,            0.005644
                  90,            0.040064,           0.0091075,           0.0050125,             0.55532,             0.99214,             0.78137,             0.34441,             0.04933,           0.0075989,           0.0045776,           0.0055945,           0.0055945,           0.0055945
                  91,            0.053193,            0.010197,           0.0051646,             0.92758,                   1,               0.995,             0.57721,            0.037505,           0.0074411,           0.0046113,            0.005545,            0.005545,            0.005545
